X,Y,Z,C
-352.43524169921875,-537.7583618164062,87.73763275146484,191.31866455078125
-371.1108703613281,-525.8409423828125,87.75794219970703,198.6326904296875
-383.6914978027344,-543.705810546875,87.93833923339844,202.8759765625
-383.844970703125,-544.7920532226562,87.87420654296875,203.3440704345703
-358.8961181640625,-558.7328491210938,88.13961791992188,199.3441162109375
-388.5142517089844,-566.1283569335938,86.35488891601562,197.79774475097656
-336.4272155761719,-566.6370239257812,91.40210723876953,193.49020385742188
-381.542236328125,-550.2899780273438,87.73942565917969,202.37393188476562
-361.7004699707031,-547.4846801757812,93.58475494384766,197.82667541503906
-350.11126708984375,-553.8518676757812,91.08796691894531,197.1423797607422
-374.61236572265625,-567.357421875,97.7655029296875,197.71800231933594
-346.49847412109375,-554.79736328125,96.49504852294922,192.58306884765625
-336.6635437011719,-563.4701538085938,94.89143371582031,197.57081604003906
-362.1156921386719,-568.095703125,103.4148178100586,194.70872497558594
-333.28216552734375,-592.239013671875,100.4867172241211,185.86329650878906
-319.4002685546875,-552.9277954101562,115.20283508300781,193.92271423339844
-307.8180847167969,-578.8704833984375,126.98249816894531,193.67916870117188
-330.85723876953125,-567.9174194335938,148.97235107421875,186.65625
-323.3260803222656,-613.1946411132812,140.6599884033203,183.83656311035156
-354.08599853515625,-586.96728515625,145.13539123535156,192.39215087890625
-363.5047607421875,-577.494873046875,139.75927734375,188.71267700195312
-353.5811767578125,-599.8734741210938,145.2232208251953,181.0869140625
-364.93536376953125,-608.7918701171875,140.741943359375,180.77626037597656
-373.106689453125,-582.7769775390625,137.2841339111328,192.9379425048828
-355.15252685546875,-624.9989624023438,139.0713348388672,187.14569091796875
-380.26678466796875,-625.4022827148438,140.92555236816406,193.4137420654297
-395.87237548828125,-611.1472778320312,145.43270874023438,198.90013122558594
-383.21484375,-619.4834594726562,147.74522399902344,191.01510620117188
-375.5206298828125,-611.7957153320312,159.24234008789062,218.16445922851562
-397.4200439453125,-601.6411743164062,161.1903533935547,233.03021240234375
-428.4163818359375,-568.574462890625,159.64344787597656,235.82688903808594
-413.8374938964844,-599.2885131835938,166.3900909423828,225.43927001953125
-404.3664855957031,-616.4519653320312,172.43101501464844,234.21475219726562
-388.8739318847656,-613.0805053710938,183.62803649902344,230.69171142578125
-406.1382141113281,-589.5551147460938,174.52752685546875,231.2493896484375
-412.41558837890625,-602.4185791015625,179.9921875,222.27984619140625
-385.71099853515625,-621.3794555664062,180.76429748535156,238.91949462890625
-413.0539245605469,-579.2570190429688,182.05201721191406,222.2972412109375
-402.28460693359375,-602.205078125,178.7421417236328,233.84555053710938
-383.96875,-567.7593383789062,185.26966857910156,241.66732788085938
-402.90545654296875,-580.4712524414062,185.0135498046875,233.34390258789062
-414.55462646484375,-563.4073486328125,175.34481811523438,224.2323455810547
-408.4933166503906,-603.0101928710938,181.28489685058594,247.7378387451172
-360.1687927246094,-585.8912353515625,179.52935791015625,229.1903839111328
-391.7248229980469,-599.5138549804688,191.67425537109375,229.2273712158203
-417.013427734375,-618.1510009765625,177.5951385498047,244.6064453125
-394.05413818359375,-614.2799072265625,189.64361572265625,204.82211303710938
-386.9540710449219,-628.23681640625,175.38076782226562,211.11709594726562
-385.8769226074219,-598.2786865234375,174.43226623535156,219.78363037109375
-407.2748718261719,-551.34716796875,163.1872100830078,206.16299438476562
-414.8946533203125,-583.2733154296875,161.70741271972656,206.059326171875
-381.8758239746094,-567.0164794921875,163.3178253173828,207.45059204101562
-388.7645568847656,-608.5343627929688,158.47511291503906,198.59674072265625
-410.086181640625,-606.5960083007812,156.56643676757812,191.47003173828125
-394.54315185546875,-561.7816772460938,151.34483337402344,181.74769592285156
-369.7850341796875,-586.4483642578125,147.79737854003906,173.5328826904297
-331.42529296875,-612.7172241210938,139.22564697265625,173.59519958496094
-318.1466369628906,-611.9406127929688,125.41576385498047,162.1648406982422
-292.986083984375,-618.5615234375,122.18331146240234,162.06259155273438
-307.86962890625,-627.2943725585938,113.5502700805664,173.17462158203125
-327.5448913574219,-607.7183837890625,108.46167755126953,171.88548278808594
-321.8765563964844,-540.623291015625,115.38182830810547,176.2875518798828
-350.6737365722656,-543.0138549804688,103.17509460449219,171.5360870361328
-325.4483642578125,-576.082763671875,98.63984680175781,180.01165771484375
-379.1761779785156,-537.0249633789062,101.33919525146484,184.90536499023438
-380.9625244140625,-576.1596069335938,96.9422836303711,180.85870361328125
-346.3187255859375,-576.80419921875,97.49528503417969,185.65147399902344
-355.9779052734375,-592.5379638671875,101.22992706298828,191.84034729003906
-366.79327392578125,-545.254150390625,101.26099395751953,196.93284606933594
-368.6009826660156,-566.2266845703125,95.31780242919922,190.66183471679688
-369.4819030761719,-551.2993774414062,96.38060760498047,184.48670959472656
-356.9144592285156,-545.810791015625,96.23255157470703,190.2783660888672
-359.2503967285156,-577.3585815429688,96.28482818603516,188.0269317626953
-348.72662353515625,-547.9216918945312,89.83668518066406,186.56690979003906
-357.9985656738281,-581.31005859375,95.29135131835938,182.95899963378906
-345.8780212402344,-578.6441650390625,95.46665954589844,195.81024169921875
-343.519287109375,-572.9256591796875,98.26648712158203,193.65744018554688
-356.7938232421875,-522.7413330078125,94.73715209960938,192.4820098876953
-363.2235412597656,-576.6890258789062,90.38008880615234,192.23880004882812
-369.8489990234375,-507.5434875488281,91.8621826171875,194.67124938964844
